name,violations
Upparpet,34468
Shivajinagar,28044
Malleshwaram,22200
HAL Old Airport,20819
City Market,17646
Vijayanagara,14652
Rajajinagar,10998
Kodigehalli,10916
Magadi Road,8558
Jeevanbheemanagar,6736
K.R. Pura,6546
Halasuru Gate,6294
Mahadevapura,6187
Chikkajala,5834
HSR Layout,5018
