name,violations
SCOOTER,94856
CAR,88868
MOTOR CYCLE,40811
PASSENGER AUTO,37813
MAXI-CAB,11372
LGV,8254
GOODS AUTO,2934
MOPED,2199
PRIVATE BUS,1633
VAN,1466
TEMPO,1366
BUS (BMTC/KSRTC),1281
